label,incomingEdges
[Pretreatment Examination: Condition Assessment],9.0
[Pretreatment Examination: Condition Assessment],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Component Application],9.0
[Collection Item: Beʼur ʼal ha-Torah [pt. 1].],9.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of hinge extensions],8.0
[production of covering material],8.0
[production of covering material],8.0
[production of covering material],8.0
[production of covering material],8.0
[production of covering material],8.0
"[component reattachment,reattachment]",8.0
[boards],8.0
[boards],8.0
[boards],8.0
[boards],8.0
[boards],8.0
[Pretreatment Examination: Condition Assessment],8.0
[Pretreatment Examination: Condition Assessment],8.0
[Component Application],8.0
[Component Application],8.0
[Component Application],8.0
[Component Application],8.0
[Component Application],8.0
[Component Application],8.0
[Component Application],8.0
[Component Application],8.0
[Component Application],8.0
[Collection Item: The extravagant shepherd],8.0
"[treatment steps,Treatment Steps]",7.0
[production of hinge extensions],7.0
[production of hinge extensions],7.0
[production of hinge extensions],7.0
[production of hinge extensions],7.0
[production of hinge extensions],7.0
[production of hinge extensions],7.0
[production of hinge extensions],7.0
[production of hinge extensions],7.0
[production of covering material],7.0
[boards],7.0
[boards],7.0
[boards],7.0
[boards],7.0
[boards],7.0
[boards],7.0
[boards],7.0
[Pretreatment Examination: Condition Assessment],7.0
[Pretreatment Examination: Condition Assessment],7.0
[Pretreatment Examination: Condition Assessment],7.0
[Pretreatment Examination: Condition Assessment],7.0
[Pretreatment Examination: Condition Assessment],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
[Component Application],7.0
"[6853_1016-Conservation of ""The works of Alexan ...]",7.0
"[6519_1786-Conservation of ""Andreae Alciati Emb ...]",7.0
"[6342_996-Conservation of ""Travels in New-Engla ...]",7.0
"[6211_993-Conservation of ""An account of the Eu ...]",7.0
"[5703_671-Conservation of ""... The catalogue of ...]",7.0
"[5686_928-Conservation of ""A New General and Un ...]",7.0
"[5654_879-Conservation of ""The works of that la ...]",7.0
"[5650_740-Conservation of ""The history of the p ...]",7.0
"[5626_680-Conservation of ""L'histoire de Bretai ...]",7.0
"[5500_659-Conservation of ""Sixteen sermons, pre ...]",7.0
"[5494_666-Conservation of ""The seasons""]",7.0
"[5455_633-Conservation of ""The orations of Aesc ...]",7.0
"[5367_496-Conservation of ""The annales of Corne ...]",7.0
"[5363_494-Conservation of ""A suruay of London : ...]",7.0
"[4851  _121-Conservation of ""Menorat ha-maʼor""]",7.0
null,6.0
null,6.0
null,6.0
[hinges],6.0
[hinges],6.0
[hinges],6.0
[hinges],6.0
[covering material],6.0
[boards],6.0
[boards],6.0
[boards],6.0
[boards],6.0
[boards],6.0
[boards],6.0
[boards],6.0
[boards],6.0
"[_1919-Conservation of ""The children's friend ...]",6.0
"[SPC_472-Conservation of ""Oculus artificialis t ...]",6.0
[Pretreatment Examination: Condition Assessment],6.0
[Pretreatment Examination: Condition Assessment],6.0
[Component Application],6.0
[Component Application],6.0
[Component Application],6.0
[Component Application],6.0
[Component Application],6.0
[Component Application],6.0
[Component Application],6.0
"[999-Conservation of ""Beʼur ʼal ha-Torah [pt. 1].""]",6.0
"[939-Conservation of ""La vie et les oeuvres spi ...]",6.0
"[751-Conservation of ""Commentariorvm in Ioannis ...]",6.0
"[741-Conservation of ""The American universal ge ...]",6.0
"[727-Conservation of ""Williams' visits; or, Thr ...]",6.0
"[704-Conservation of ""A compendious system of a ...]",6.0
"[513-Conservation of ""Dyalogus doctoris venerab ...]",6.0
"[491-Conservation of ""Exotic flora, containing  ...]",6.0
"[4449-Conservation of ""Poems on several occasions""]",6.0
"[4447-Conservation of ""The new practical naviga ...]",6.0
"[4434-Conservation of ""Mission music : choir bo ...]",6.0
"[4403-Conservation of ""English synonymes, with  ...]",6.0
"[3827-Conservation of ""Hai tou Anakreontos ōdai ...]",6.0
"[321-Conservation of ""Publii Virgilii Maronis B ...]",6.0
"[320-Conservation of ""Poly-Olbion""]",6.0
"[3191-Conservation of ""Sefer Shaʻare Tsiyon : e ...]",6.0
"[3182-Conservation of ""The rhetorical reader :  ...]",6.0
"[3181-Conservation of ""The English reader, or,  ...]",6.0
"[318-Conservation of ""The works of Sir William  ...]",6.0
"[3179-Conservation of ""Analysis of the principl ...]",6.0
"[3176-Conservation of ""A fifth reader""]",6.0
"[3174-Conservation of ""Introduction to the Engl ...]",6.0
"[317-Conservation of ""P. Terentii Comœdiæ sex""]",6.0
"[2033-Conservation of ""Atlas coelestis""]",6.0
"[2032-Conservation of ""A dictionary of the Engl ...]",6.0
"[2030-Conservation of ""The poems of Gray : ador ...]",6.0
"[1918-Conservation of ""The bombardier, and pock ...]",6.0
"[1741-Conservation of ""Spencer redivivus; conta ...]",6.0
"[1740-Conservation of ""The extravagant shepherd""]",6.0
"[1726-Conservation of ""The Antiquarian repertor ...]",6.0
"[1724-Conservation of ""Galerie française, ou Co ...]",6.0
"[1307-Conservation of ""La destruction de l'aris ...]",6.0
"[1114-Conservation of ""De ortv ac progressv art ...]",6.0
"[1108-Conservation of ""In M. Tullii Ciceronis O ...]",6.0
null,5.0
null,5.0
null,5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
"[treatment steps,Treatment Steps]",5.0
[hinges],5.0
[covering material],5.0
[covering material],5.0
[covering material],5.0
[covering material],5.0
[cover],5.0
[cover],5.0
[cover],5.0
[cover],5.0
[cover],5.0
[cover],5.0
[cover],5.0
[cover],5.0
[cover],5.0
"[component reattachment,reattachment]",5.0
"[component reattachment,reattachment]",5.0
"[component reattachment,reattachment]",5.0
"[component reattachment,reattachment]",5.0
"[component reattachment,reattachment]",5.0
[boards],5.0
[boards],5.0
[boards],5.0
[boards],5.0
[boards],5.0
[boards],5.0
[boards],5.0
[boards],5.0
[Pretreatment Examination: Condition Assessment],5.0
[Pretreatment Examination: Condition Assessment],5.0
[Pretreatment Examination: Condition Assessment],5.0
[Pretreatment Examination: Condition Assessment],5.0
[Pretreatment Examination: Condition Assessment],5.0
[Pretreatment Examination: Condition Assessment],5.0
[Pretreatment Examination: Condition Assessment],5.0
[Component Application],5.0
[Component Application],5.0
[Component Application],5.0
[Component Application],5.0
[Component Application],5.0
[Component Application],5.0
[Component Application],5.0
[Component Application],5.0
[Component Application],5.0
"[-Conservation of ""Illustrations of the birds o ...]",5.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
null,4.0
"[treatment steps,Treatment Steps]",4.0
"[treatment steps,Treatment Steps]",4.0
"[treatment steps,Treatment Steps]",4.0
"[treatment steps,Treatment Steps]",4.0
"[treatment steps,Treatment Steps]",4.0
"[treatment steps,Treatment Steps]",4.0
"[treatment steps,Treatment Steps]",4.0
[new component formation],4.0
[new component formation],4.0
[new component formation],4.0
[leaf attachment],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[covering material],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
[cover],4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
"[component reattachment,reattachment]",4.0
[boards],4.0
[boards],4.0
[boards],4.0
[boards],4.0
[boards],4.0
[boards],4.0
[boards],4.0
[boards],4.0
[boards],4.0
[Pretreatment Examination: Descriptive Attribute Assignment],4.0
[Pretreatment Examination: Condition Assessment],4.0
[Pretreatment Examination: Condition Assessment],4.0
[Pretreatment Examination: Condition Assessment],4.0
[Pretreatment Examination: Condition Assessment],4.0
[Pretreatment Examination: Condition Assessment],4.0
[Component Application],4.0
[Component Application],4.0
null,3.0
null,3.0
null,3.0
null,3.0
null,3.0
null,3.0
null,3.0
null,3.0
null,3.0
null,3.0
null,3.0
null,3.0
null,3.0
[textblock],3.0
[textblock],3.0
[textblock],3.0
[spine],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[new component formation],3.0
[leaf attachment],3.0
[leaf attachment],3.0
[leaf attachment],3.0
[leaf attachment],3.0
[leaf attachment],3.0
[hinges],3.0
[hinges],3.0
[hinges],3.0
[endbands],3.0
[endbands],3.0
[covering material],3.0
[covering material],3.0
[covering material],3.0
[covering material],3.0
[covering material],3.0
[covering material],3.0
[cover],3.0
[cover],3.0
[cover],3.0
[cover],3.0
[cover],3.0
[cover],3.0
"[component reattachment,reattachment]",3.0
"[component reattachment,reattachment]",3.0
[boards],3.0
[boards],3.0
[boards],3.0
[Pretreatment Examination: Condition Assessment],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Conservation Documentation: Text],3.0
[Component Application],3.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
null,2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[textblock],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
[text to cover attachment],2.0
"[spine linings,spine lining]",2.0
"[spine linings,spine lining]",2.0
[spine linings],2.0
[spine linings],2.0
[spine linings],2.0
[spine linings],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine lining],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[spine],2.0
[sewing supports],2.0
[sewing supports],2.0
[sewing supports],2.0
[sewing supports],2.0
[sewing supports],2.0
[sewing supports],2.0
[sewing supports],2.0
[sewing supports],2.0
[sewing supports],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[new component formation],2.0
[leaf attachment],2.0
[leaf attachment],2.0
[leaf attachment],2.0
[leaf attachment],2.0
[leaf attachment],2.0
[leaf attachment],2.0
[leaf attachment],2.0
[leaf attachment],2.0
[hinges],2.0
[endbands],2.0
[endbands],2.0
[endbands],2.0
[endbands],2.0
[endbands],2.0
[endbands],2.0
[endbands],2.0
[endbands],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[covering material],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[cover],2.0
[boards],2.0
[boards],2.0
[boards],2.0
[boards],2.0
[boards],2.0
[boards],2.0
[boards],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
[Pretreatment Examination: Descriptive Attribute Assignment],2.0
